year,week_index,start_day,end_day,deaths,baseline,excess
1992,0,1,7,2596,2330.641,-0.025375
1992,1,8,14,2188,2326.367,-0.059478
1992,2,15,21,2167,2267.811,-0.044453
1992,3,22,28,2259,2214.298,0.020188
1992,4,29,35,2270,2203.206,0.030317
1992,5,36,42,2257,2206.239,0.023008
1992,6,43,49,2309,2207.084,0.046177
1992,7,50,56,2215,2194.247,0.009458
1992,8,57,63,2133,2182.843,-0.022834
1992,9,64,70,2035,2168.220,-0.061442
1992,10,71,77,1967,2159.222,-0.089024
1992,11,78,84,1950,2154.633,-0.094973
1992,12,85,91,1991,2134.455,-0.067209
1992,13,92,98,2004,2104.970,-0.047968
1992,14,99,105,2072,2081.808,-0.004711
1992,15,106,112,2075,2039.762,0.017275
1992,16,113,119,1999,1988.976,0.005040
1992,17,120,126,1928,1949.359,-0.010957
1992,18,127,133,1945,1939.870,0.002644
1992,19,134,140,1997,1925.693,0.037029
1992,20,141,147,1928,1900.539,0.014449
1992,21,148,154,1935,1898.894,0.019014
1992,22,155,161,1904,1900.399,0.001895
1992,23,162,168,1897,1869.506,0.014706
1992,24,169,175,1795,1871.897,-0.041080
1992,25,176,183,2000,1897.825,0.053838
1992,26,184,190,2113,1883.067,-0.018158
1992,27,191,197,1843,1881.642,-0.020536
1992,28,198,204,1899,1887.323,0.006187
1992,29,205,211,1822,1882.729,-0.032256
1992,30,212,218,1886,1879.897,0.003247
1992,31,219,225,1891,1855.201,0.019297
1992,32,226,232,1753,1806.724,-0.029736
1992,33,233,239,1810,1779.873,0.016927
1992,34,240,246,1777,1782.298,-0.002973
1992,35,247,253,1812,1808.102,0.002156
1992,36,254,260,1872,1828.954,0.023536
1992,37,261,267,1903,1854.306,0.026260
1992,38,268,274,1969,1873.556,0.050943
1992,39,275,281,1832,1887.327,-0.029315
1992,40,282,288,1929,1907.340,0.011356
1992,41,289,295,2034,1925.724,0.056226
1992,42,296,302,2005,1941.379,0.032771
1992,43,303,309,2069,1952.350,0.059749
1992,44,310,316,1930,1942.865,-0.006621
1992,45,317,323,1978,1937.291,0.021013
1992,46,324,330,1959,1966.123,-0.003623
1992,47,331,337,1951,2012.369,-0.030496
1992,48,338,344,1941,2052.960,-0.054536
1992,49,345,351,2021,2095.729,-0.035658
1992,50,352,358,1962,2164.870,-0.093710
1992,51,359,366,2081,2257.754,-0.078288
1993,0,1,7,2767,2330.641,0.038824
1993,1,8,14,2295,2326.367,-0.013483
1993,2,15,21,2094,2267.811,-0.076643
1993,3,22,28,2100,2214.298,-0.051618
1993,4,29,35,2084,2203.206,-0.054106
